atoms_id,energy,volume,atoms
0         , -1.88913661e+02,  1.90176283e+02,              21
10        , -1.88436170e+02,  1.83460122e+02,              21
11        , -1.88913661e+02,  1.90176279e+02,              21
12        , -1.88436170e+02,  1.83460122e+02,              21
