x1,x2,V
  0.00000000,  0.25000000,  5.88936381
  0.25000000,  0.50000000,  4.84012281
  0.50000000,  0.62500000,  4.70549281
  0.62500000,  0.75000000,  4.57983481
  0.75000000,  0.87500000,  4.07348781
  0.87500000,  1.00000000,  3.76043381
