state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         8, -1.46511020e+02, -1.46511020e+02,  0.00000000e+00, -1.46511020e+02, -1.46511020e+02,  2.08229089e+02,              24
         1, -1.97881661e+02, -1.97837988e+02,  5.87176496e-02, -1.97736836e+02, -1.97881661e+02,  1.92599372e+02,              23
         2, -1.91443480e+02, -1.91280829e+02,  7.66447158e-02, -1.91171858e+02, -1.91443480e+02,  1.92802562e+02,              22
         3, -1.84498952e+02, -1.84403132e+02,  6.77551694e-02, -1.84355222e+02, -1.84498952e+02,  1.90017191e+02,              21
         4, -1.77428766e+02, -1.77233795e+02,  9.98748955e-02, -1.77160773e+02, -1.77428766e+02,  1.86929517e+02,              20
         5, -1.69900729e+02, -1.69900729e+02,  2.66487632e-09, -1.69900729e+02, -1.69900729e+02,  1.87106004e+02,              19
         6, -1.63019134e+02, -1.62637473e+02,  5.39751270e-01, -1.61874149e+02, -1.63019134e+02,  1.70682390e+02,              18
         7, -1.54732401e+02, -1.54732401e+02,  2.00971835e-14, -1.54732401e+02, -1.54732401e+02,  1.69133964e+02,              17
