atoms_id,energy,volume,atoms
0         , -2.74374299e+02,  2.97510725e+02,              31
1         , -2.74374299e+02,  2.97510725e+02,              31
8         , -2.74374299e+02,  2.97510725e+02,              31
9         , -2.74374299e+02,  2.97510725e+02,              31
16        , -2.74374299e+02,  2.97510725e+02,              31
17        , -2.74374299e+02,  2.97510725e+02,              31
24        , -2.74374299e+02,  2.97510725e+02,              31
25        , -2.74374299e+02,  2.97510725e+02,              31
