atoms_id,energy,volume,atoms
0         , 1         , 2         , -5.06417869e+02,  5.59328047e+02,              53
0         , 1         , 3         , -5.06417869e+02,  5.59328047e+02,              53
0         , 1         , 28        , -5.06719305e+02,  5.59981973e+02,              53
0         , 1         , 29        , -5.06719305e+02,  5.59981973e+02,              53
0         , 1         , 30        , -5.06685954e+02,  5.58069867e+02,              53
0         , 1         , 31        , -5.06685954e+02,  5.58069867e+02,              53
0         , 2         , 3         , -5.06417869e+02,  5.59328047e+02,              53
0         , 2         , 28        , -5.06706475e+02,  5.59528745e+02,              53
0         , 2         , 29        , -5.06685954e+02,  5.58069867e+02,              53
0         , 2         , 30        , -5.06706475e+02,  5.59528745e+02,              53
0         , 2         , 31        , -5.06685954e+02,  5.58069867e+02,              53
0         , 3         , 28        , -5.06325831e+02,  5.59596348e+02,              53
0         , 3         , 29        , -5.06417869e+02,  5.59328047e+02,              53
0         , 3         , 30        , -5.06417869e+02,  5.59328047e+02,              53
0         , 3         , 31        , -5.06325831e+02,  5.59596348e+02,              53
0         , 28        , 29        , -5.06719305e+02,  5.59981973e+02,              53
0         , 28        , 30        , -5.06706475e+02,  5.59528745e+02,              53
0         , 28        , 31        , -5.06325831e+02,  5.59596348e+02,              53
0         , 29        , 30        , -5.06417869e+02,  5.59328047e+02,              53
0         , 29        , 31        , -5.06685954e+02,  5.58069867e+02,              53
0         , 30        , 31        , -5.06685954e+02,  5.58069867e+02,              53
1         , 2         , 3         , -5.06417869e+02,  5.59328047e+02,              53
1         , 2         , 28        , -5.06417869e+02,  5.59328047e+02,              53
1         , 2         , 29        , -5.06325831e+02,  5.59596348e+02,              53
1         , 2         , 30        , -5.06325831e+02,  5.59596348e+02,              53
1         , 2         , 31        , -5.06417869e+02,  5.59328047e+02,              53
1         , 3         , 28        , -5.06685954e+02,  5.58069867e+02,              53
1         , 3         , 29        , -5.06706475e+02,  5.59528745e+02,              53
1         , 3         , 30        , -5.06685954e+02,  5.58069867e+02,              53
1         , 3         , 31        , -5.06706475e+02,  5.59528745e+02,              53
1         , 28        , 29        , -5.06719305e+02,  5.59981973e+02,              53
1         , 28        , 30        , -5.06685954e+02,  5.58069867e+02,              53
1         , 28        , 31        , -5.06417869e+02,  5.59328047e+02,              53
1         , 29        , 30        , -5.06325831e+02,  5.59596348e+02,              53
1         , 29        , 31        , -5.06706475e+02,  5.59528745e+02,              53
1         , 30        , 31        , -5.06685954e+02,  5.58069867e+02,              53
2         , 3         , 28        , -5.06685954e+02,  5.58069867e+02,              53
2         , 3         , 29        , -5.06685954e+02,  5.58069867e+02,              53
2         , 3         , 30        , -5.06719305e+02,  5.59981973e+02,              53
2         , 3         , 31        , -5.06719305e+02,  5.59981973e+02,              53
2         , 28        , 29        , -5.06685954e+02,  5.58069867e+02,              53
2         , 28        , 30        , -5.06706475e+02,  5.59528745e+02,              53
2         , 28        , 31        , -5.06417869e+02,  5.59328047e+02,              53
2         , 29        , 30        , -5.06325831e+02,  5.59596348e+02,              53
2         , 29        , 31        , -5.06685954e+02,  5.58069867e+02,              53
2         , 30        , 31        , -5.06719305e+02,  5.59981973e+02,              53
3         , 28        , 29        , -5.06685954e+02,  5.58069867e+02,              53
3         , 28        , 30        , -5.06685954e+02,  5.58069867e+02,              53
3         , 28        , 31        , -5.06325831e+02,  5.59596348e+02,              53
3         , 29        , 30        , -5.06417869e+02,  5.59328047e+02,              53
3         , 29        , 31        , -5.06706475e+02,  5.59528745e+02,              53
3         , 30        , 31        , -5.06719305e+02,  5.59981973e+02,              53
28        , 29        , 30        , -5.06417869e+02,  5.59328047e+02,              53
28        , 29        , 31        , -5.06417869e+02,  5.59328047e+02,              53
28        , 30        , 31        , -5.06417869e+02,  5.59328047e+02,              53
29        , 30        , 31        , -5.06417869e+02,  5.59328047e+02,              53
