atoms_id,energy,volume,atoms
0         , 1         , 2         , 3         , -5.00872037e+02,  5.56468639e+02,              52
0         , 1         , 2         , 28        , -5.01174323e+02,  5.56979365e+02,              52
0         , 1         , 2         , 29        , -5.01125908e+02,  5.56537119e+02,              52
0         , 1         , 2         , 30        , -5.01118147e+02,  5.56256320e+02,              52
0         , 1         , 2         , 31        , -5.01144953e+02,  5.55591680e+02,              52
0         , 1         , 3         , 28        , -5.01125908e+02,  5.56537119e+02,              52
0         , 1         , 3         , 29        , -5.01174323e+02,  5.56979365e+02,              52
0         , 1         , 3         , 30        , -5.01144953e+02,  5.55591680e+02,              52
0         , 1         , 3         , 31        , -5.01118147e+02,  5.56256320e+02,              52
0         , 1         , 28        , 29        , -5.01500342e+02,  5.57946811e+02,              52
0         , 1         , 28        , 30        , -5.01449599e+02,  5.56129453e+02,              52
0         , 1         , 28        , 31        , -5.01125908e+02,  5.56537119e+02,              52
0         , 1         , 29        , 30        , -5.01125908e+02,  5.56537119e+02,              52
0         , 1         , 29        , 31        , -5.01449599e+02,  5.56129453e+02,              52
0         , 1         , 30        , 31        , -5.01420923e+02,  5.54792978e+02,              52
0         , 2         , 3         , 28        , -5.01118147e+02,  5.56256320e+02,              52
0         , 2         , 3         , 29        , -5.01144953e+02,  5.55591680e+02,              52
0         , 2         , 3         , 30        , -5.01174323e+02,  5.56979365e+02,              52
0         , 2         , 3         , 31        , -5.01125908e+02,  5.56537119e+02,              52
0         , 2         , 28        , 29        , -5.01449599e+02,  5.56129453e+02,              52
0         , 2         , 28        , 30        , -5.01459213e+02,  5.57144479e+02,              52
0         , 2         , 28        , 31        , -5.01118147e+02,  5.56256320e+02,              52
0         , 2         , 29        , 30        , -5.01118147e+02,  5.56256320e+02,              52
0         , 2         , 29        , 31        , -5.01420923e+02,  5.54792978e+02,              52
0         , 2         , 30        , 31        , -5.01449599e+02,  5.56129453e+02,              52
0         , 3         , 28        , 29        , -5.01125908e+02,  5.56537119e+02,              52
0         , 3         , 28        , 30        , -5.01118147e+02,  5.56256320e+02,              52
0         , 3         , 28        , 31        , -5.00744964e+02,  5.55890539e+02,              52
0         , 3         , 29        , 30        , -5.00872037e+02,  5.56468639e+02,              52
0         , 3         , 29        , 31        , -5.01118147e+02,  5.56256320e+02,              52
0         , 3         , 30        , 31        , -5.01125908e+02,  5.56537119e+02,              52
0         , 28        , 29        , 30        , -5.01174323e+02,  5.56979365e+02,              52
0         , 28        , 29        , 31        , -5.01125908e+02,  5.56537119e+02,              52
0         , 28        , 30        , 31        , -5.01118147e+02,  5.56256320e+02,              52
0         , 29        , 30        , 31        , -5.01144953e+02,  5.55591680e+02,              52
1         , 2         , 3         , 28        , -5.01144953e+02,  5.55591680e+02,              52
1         , 2         , 3         , 29        , -5.01118147e+02,  5.56256320e+02,              52
1         , 2         , 3         , 30        , -5.01125908e+02,  5.56537119e+02,              52
1         , 2         , 3         , 31        , -5.01174323e+02,  5.56979365e+02,              52
1         , 2         , 28        , 29        , -5.01125908e+02,  5.56537119e+02,              52
1         , 2         , 28        , 30        , -5.01118147e+02,  5.56256320e+02,              52
1         , 2         , 28        , 31        , -5.00872037e+02,  5.56468639e+02,              52
1         , 2         , 29        , 30        , -5.00744964e+02,  5.55890539e+02,              52
1         , 2         , 29        , 31        , -5.01118147e+02,  5.56256320e+02,              52
1         , 2         , 30        , 31        , -5.01125908e+02,  5.56537119e+02,              52
1         , 3         , 28        , 29        , -5.01449599e+02,  5.56129453e+02,              52
1         , 3         , 28        , 30        , -5.01420923e+02,  5.54792978e+02,              52
1         , 3         , 28        , 31        , -5.01118147e+02,  5.56256320e+02,              52
1         , 3         , 29        , 30        , -5.01118147e+02,  5.56256320e+02,              52
1         , 3         , 29        , 31        , -5.01459213e+02,  5.57144479e+02,              52
1         , 3         , 30        , 31        , -5.01449599e+02,  5.56129453e+02,              52
1         , 28        , 29        , 30        , -5.01125908e+02,  5.56537119e+02,              52
1         , 28        , 29        , 31        , -5.01174323e+02,  5.56979365e+02,              52
1         , 28        , 30        , 31        , -5.01144953e+02,  5.55591680e+02,              52
1         , 29        , 30        , 31        , -5.01118147e+02,  5.56256320e+02,              52
2         , 3         , 28        , 29        , -5.01420923e+02,  5.54792978e+02,              52
2         , 3         , 28        , 30        , -5.01449599e+02,  5.56129453e+02,              52
2         , 3         , 28        , 31        , -5.01125908e+02,  5.56537119e+02,              52
2         , 3         , 29        , 30        , -5.01125908e+02,  5.56537119e+02,              52
2         , 3         , 29        , 31        , -5.01449599e+02,  5.56129453e+02,              52
2         , 3         , 30        , 31        , -5.01500342e+02,  5.57946811e+02,              52
2         , 28        , 29        , 30        , -5.01118147e+02,  5.56256320e+02,              52
2         , 28        , 29        , 31        , -5.01144953e+02,  5.55591680e+02,              52
2         , 28        , 30        , 31        , -5.01174323e+02,  5.56979365e+02,              52
2         , 29        , 30        , 31        , -5.01125908e+02,  5.56537119e+02,              52
3         , 28        , 29        , 30        , -5.01144953e+02,  5.55591680e+02,              52
3         , 28        , 29        , 31        , -5.01118147e+02,  5.56256320e+02,              52
3         , 28        , 30        , 31        , -5.01125908e+02,  5.56537119e+02,              52
3         , 29        , 30        , 31        , -5.01174323e+02,  5.56979365e+02,              52
28        , 29        , 30        , 31        , -5.00872037e+02,  5.56468639e+02,              52
