atoms_id,energy,volume,atoms
0         , 1         , 2         , 3         , 28        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 2         , 3         , 29        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 2         , 3         , 30        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 2         , 3         , 31        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 2         , 28        , 29        , -4.95851390e+02,  5.56756704e+02,              51
0         , 1         , 2         , 28        , 30        , -4.95829025e+02,  5.56003790e+02,              51
0         , 1         , 2         , 28        , 31        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 2         , 29        , 30        , -4.95471846e+02,  5.55209308e+02,              51
0         , 1         , 2         , 29        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 1         , 2         , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 1         , 3         , 28        , 29        , -4.95851390e+02,  5.56756704e+02,              51
0         , 1         , 3         , 28        , 30        , -4.95807930e+02,  5.55115683e+02,              51
0         , 1         , 3         , 28        , 31        , -4.95471846e+02,  5.55209308e+02,              51
0         , 1         , 3         , 29        , 30        , -4.95530944e+02,  5.55674901e+02,              51
0         , 1         , 3         , 29        , 31        , -4.95829025e+02,  5.56003790e+02,              51
0         , 1         , 3         , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 1         , 28        , 29        , 30        , -4.95851390e+02,  5.56756704e+02,              51
0         , 1         , 28        , 29        , 31        , -4.95851390e+02,  5.56756704e+02,              51
0         , 1         , 28        , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 1         , 29        , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 2         , 3         , 28        , 29        , -4.95807930e+02,  5.55115683e+02,              51
0         , 2         , 3         , 28        , 30        , -4.95829025e+02,  5.56003790e+02,              51
0         , 2         , 3         , 28        , 31        , -4.95471846e+02,  5.55209308e+02,              51
0         , 2         , 3         , 29        , 30        , -4.95530944e+02,  5.55674901e+02,              51
0         , 2         , 3         , 29        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 2         , 3         , 30        , 31        , -4.95851390e+02,  5.56756704e+02,              51
0         , 2         , 28        , 29        , 30        , -4.95829025e+02,  5.56003790e+02,              51
0         , 2         , 28        , 29        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 2         , 28        , 30        , 31        , -4.95829025e+02,  5.56003790e+02,              51
0         , 2         , 29        , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
0         , 3         , 28        , 29        , 30        , -4.95530944e+02,  5.55674901e+02,              51
0         , 3         , 28        , 29        , 31        , -4.95471846e+02,  5.55209308e+02,              51
0         , 3         , 28        , 30        , 31        , -4.95471846e+02,  5.55209308e+02,              51
0         , 3         , 29        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
0         , 28        , 29        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
1         , 2         , 3         , 28        , 29        , -4.95807930e+02,  5.55115683e+02,              51
1         , 2         , 3         , 28        , 30        , -4.95807930e+02,  5.55115683e+02,              51
1         , 2         , 3         , 28        , 31        , -4.95530944e+02,  5.55674901e+02,              51
1         , 2         , 3         , 29        , 30        , -4.95471846e+02,  5.55209308e+02,              51
1         , 2         , 3         , 29        , 31        , -4.95829025e+02,  5.56003790e+02,              51
1         , 2         , 3         , 30        , 31        , -4.95851390e+02,  5.56756704e+02,              51
1         , 2         , 28        , 29        , 30        , -4.95471846e+02,  5.55209308e+02,              51
1         , 2         , 28        , 29        , 31        , -4.95530944e+02,  5.55674901e+02,              51
1         , 2         , 28        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
1         , 2         , 29        , 30        , 31        , -4.95471846e+02,  5.55209308e+02,              51
1         , 3         , 28        , 29        , 30        , -4.95807930e+02,  5.55115683e+02,              51
1         , 3         , 28        , 29        , 31        , -4.95829025e+02,  5.56003790e+02,              51
1         , 3         , 28        , 30        , 31        , -4.95807930e+02,  5.55115683e+02,              51
1         , 3         , 29        , 30        , 31        , -4.95829025e+02,  5.56003790e+02,              51
1         , 28        , 29        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
2         , 3         , 28        , 29        , 30        , -4.95807930e+02,  5.55115683e+02,              51
2         , 3         , 28        , 29        , 31        , -4.95807930e+02,  5.55115683e+02,              51
2         , 3         , 28        , 30        , 31        , -4.95851390e+02,  5.56756704e+02,              51
2         , 3         , 29        , 30        , 31        , -4.95851390e+02,  5.56756704e+02,              51
2         , 28        , 29        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
3         , 28        , 29        , 30        , 31        , -4.95530944e+02,  5.55674901e+02,              51
