state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         8, -4.77835709e+02, -4.77835709e+02,  0.00000000e+00, -4.77835709e+02, -4.77835709e+02,  6.03790219e+02,              56
         1, -5.17048409e+02, -5.17048409e+02,  2.12688598e-13, -5.17048409e+02, -5.17048409e+02,  5.66044046e+02,              55
         2, -5.11935681e+02, -5.11869466e+02,  1.12722877e-01, -5.11601433e+02, -5.11935681e+02,  5.61128274e+02,              54
         3, -5.06714492e+02, -5.06604890e+02,  1.35038028e-01, -5.06413710e+02, -5.06714492e+02,  5.58525257e+02,              53
         4, -5.01494092e+02, -5.01270501e+02,  1.67103817e-01, -5.01118199e+02, -5.01494092e+02,  5.55627517e+02,              52
         5, -4.95854557e+02, -4.95854486e+02,  7.17423517e-05, -4.95854408e+02, -4.95854557e+02,  5.53875139e+02,              51
         6, -4.90089472e+02, -4.90083977e+02,  7.77099071e-03, -4.90072987e+02, -4.90089472e+02,  5.54158484e+02,              50
         7, -4.84106507e+02, -4.84105279e+02,  1.22740710e-03, -4.84104052e+02, -4.84106507e+02,  5.55944841e+02,              49
