x1,x2,V
  0.00000000,  0.16666667,  4.59351781
  0.16666667,  0.33333333,  4.48096481
  0.33333333,  0.50000000,  4.32001581
  0.50000000,  0.66666667,  3.79409181
  0.66666667,  0.83333333,  3.70999181
  0.83333333,  1.00000000,  3.65946581
