state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         6, -1.68425083e+02, -1.68425083e+02,  0.00000000e+00, -1.68425083e+02, -1.68425083e+02,  1.98018203e+02,              24
         1, -2.01147131e+02, -2.01147131e+02,  3.95868604e-13, -2.01147131e+02, -2.01147131e+02,  1.90538173e+02,              23
         2, -1.95072446e+02, -1.94963162e+02,  1.71898233e-01, -1.94622059e+02, -1.95072446e+02,  1.90322621e+02,              22
         3, -1.88913661e+02, -1.88674915e+02,  2.38745683e-01, -1.88436170e+02, -1.88913661e+02,  1.90176283e+02,              21
         4, -1.82228952e+02, -1.82213329e+02,  2.20946191e-02, -1.82182083e+02, -1.82228952e+02,  1.83026469e+02,              20
         5, -1.75383294e+02, -1.75383294e+02,  4.57900740e-08, -1.75383294e+02, -1.75383294e+02,  1.75202053e+02,              19
