state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         0, -5.22046303e+02, -5.22046303e+02,  0.00000000e+00, -5.22046303e+02, -5.22046303e+02,  5.68945289e+02,              56
         1, -5.17048409e+02, -5.17048409e+02,  1.39237371e-13, -5.17048409e+02, -5.17048409e+02,  5.66044046e+02,              55
         2, -5.11934169e+02, -5.11869311e+02,  1.10488039e-01, -5.11606288e+02, -5.11934169e+02,  5.62617651e+02,              54
         3, -5.06719305e+02, -5.06565608e+02,  1.57470759e-01, -5.06325831e+02, -5.06719305e+02,  5.59981973e+02,              53
         4, -5.01500342e+02, -5.01180525e+02,  1.71162919e-01, -5.00744964e+02, -5.01500342e+02,  5.57946811e+02,              52
         5, -4.95851390e+02, -4.95690001e+02,  1.56469099e-01, -4.95471846e+02, -4.95851390e+02,  5.56756704e+02,              51
         6, -4.90077847e+02, -4.90017153e+02,  1.10547965e-01, -4.89749514e+02, -4.90077847e+02,  5.57710071e+02,              50
         7, -4.84080567e+02, -4.84080567e+02,  5.60563732e-13, -4.84080567e+02, -4.84080567e+02,  5.59778798e+02,              49
         8, -4.77835709e+02, -4.77835709e+02,  0.00000000e+00, -4.77835709e+02, -4.77835709e+02,  5.60777621e+02,              48
