atoms_id,energy,volume,atoms
0         , -5.93462679e+02,  5.82622181e+02,              55
1         , -5.93462679e+02,  5.82622181e+02,              55
2         , -5.93462679e+02,  5.82622199e+02,              55
3         , -5.93462679e+02,  5.82622199e+02,              55
28        , -5.93462679e+02,  5.82622181e+02,              55
29        , -5.93462679e+02,  5.82622181e+02,              55
30        , -5.93462679e+02,  5.82622199e+02,              55
31        , -5.93462679e+02,  5.82622199e+02,              55
