state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         8, -5.45067527e+02, -5.45067527e+02,  0.00000000e+00, -5.45067527e+02, -5.45067527e+02,  9.18459455e+02,              64
         1, -6.14015505e+02, -6.13972489e+02,  4.30152629e-02, -6.13929474e+02, -6.14015505e+02,  8.54586416e+02,              63
         2, -6.04754398e+02, -6.04581375e+02,  1.63026182e-01, -6.04217187e+02, -6.04754398e+02,  8.44866320e+02,              62
         3, -5.95229328e+02, -5.95123981e+02,  1.23872363e-01, -5.94950092e+02, -5.95229328e+02,  8.33042144e+02,              61
         4, -5.85700246e+02, -5.85452594e+02,  1.93830154e-01, -5.85254002e+02, -5.85700246e+02,  8.20766135e+02,              60
         5, -5.75683217e+02, -5.75683217e+02,  1.94682854e-07, -5.75683217e+02, -5.75683217e+02,  8.14373419e+02,              59
         6, -5.65593323e+02, -5.65585769e+02,  6.47882894e-03, -5.65577501e+02, -5.65593323e+02,  8.08676022e+02,              58
         7, -5.55377538e+02, -5.55377538e+02,  6.42614853e-10, -5.55377538e+02, -5.55377538e+02,  8.02684236e+02,              57
