x1,x2,V
  0.00000000,  0.12500000,  4.30589961
  0.12500000,  0.25000000,  4.21167361
  0.25000000,  0.37500000,  4.08578261
  0.37500000,  0.50000000,  4.01291761
  0.50000000,  0.62500000,  3.52497061
  0.62500000,  0.75000000,  3.52095861
  0.75000000,  0.87500000,  3.25699561
  0.87500000,  1.00000000,  3.19560761
