state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         3, -8.42123536e+01, -8.42123536e+01,  0.00000000e+00, -8.42123536e+01, -8.42123536e+01,  9.90091015e+01,              12
         1, -9.73102645e+01, -9.73102645e+01,  9.80561679e-10, -9.73102645e+01, -9.73102645e+01,  9.23304776e+01,              11
         2, -9.08381452e+01, -9.08381452e+01,  1.07718279e-11, -9.08381452e+01, -9.08381452e+01,  8.85543421e+01,              10
