atoms_id,energy,volume,atoms
0         , -5.17048409e+02,  5.66044046e+02,              55
1         , -5.17048409e+02,  5.66044046e+02,              55
2         , -5.17048409e+02,  5.66044046e+02,              55
3         , -5.17048409e+02,  5.66044046e+02,              55
28        , -5.17048409e+02,  5.66044046e+02,              55
29        , -5.17048409e+02,  5.66044046e+02,              55
30        , -5.17048409e+02,  5.66044046e+02,              55
31        , -5.17048409e+02,  5.66044046e+02,              55
