state,energy,mean energy,std energy,max energy,min energy,volume,atoms
         8, -5.33737192e+02, -5.33737192e+02,  0.00000000e+00, -5.33737192e+02, -5.33737192e+02,  5.95392171e+02,              56
         1, -5.93462679e+02, -5.93462679e+02,  8.07755214e-08, -5.93462679e+02, -5.93462679e+02,  5.82622199e+02,              55
         2, -5.85472214e+02, -5.85380034e+02,  5.40153760e-02, -5.85318164e+02, -5.85472214e+02,  5.74763118e+02,              54
         3, -5.77232911e+02, -5.77212545e+02,  1.66826646e-02, -5.77192047e+02, -5.77232911e+02,  5.68473670e+02,              53
         4, -5.68892659e+02, -5.68822637e+02,  4.24034082e-02, -5.68778385e+02, -5.68892659e+02,  5.60541763e+02,              52
         5, -5.60368891e+02, -5.60368891e+02,  9.95819960e-09, -5.60368891e+02, -5.60368891e+02,  5.53279269e+02,              51
         6, -5.51771878e+02, -5.51644703e+02,  1.42831586e-01, -5.51445207e+02, -5.51771878e+02,  5.43686768e+02,              50
         7, -5.42864114e+02, -5.42864114e+02,  8.47094270e-08, -5.42864114e+02, -5.42864114e+02,  5.43339160e+02,              49
