x1,x2,V
  0.00000000,  0.12500000,  2.47746412
  0.12500000,  0.25000000,  2.36788512
  0.25000000,  0.37500000,  2.21250962
  0.37500000,  0.50000000,  2.17588712
  0.50000000,  0.62500000,  2.08412912
  0.62500000,  0.75000000,  2.03365462
  0.75000000,  0.87500000,  1.90923562
  0.87500000,  1.00000000,  1.86333612
