atoms_id,energy,volume,atoms
0         , -1.97736836e+02,  1.90444597e+02,              23
1         , -1.97881661e+02,  1.92599372e+02,              23
2         , -1.97866727e+02,  1.92736779e+02,              23
3         , -1.97866727e+02,  1.92736779e+02,              23
4         , -1.97736836e+02,  1.90444597e+02,              23
5         , -1.97881661e+02,  1.92599372e+02,              23
6         , -1.97866727e+02,  1.92736779e+02,              23
7         , -1.97866727e+02,  1.92736779e+02,              23
