atoms_id,energy,volume,atoms
0         , -6.13929474e+02,  8.54787877e+02,              63
1         , -6.13929474e+02,  8.54787877e+02,              63
2         , -6.13929474e+02,  8.54787877e+02,              63
3         , -6.13929474e+02,  8.54787877e+02,              63
4         , -6.14015505e+02,  8.54586416e+02,              63
5         , -6.14015505e+02,  8.54586416e+02,              63
6         , -6.14015505e+02,  8.54586416e+02,              63
7         , -6.14015505e+02,  8.54586416e+02,              63
